"","働いている(％)","働いていない(％)","無回答(％)"
"総数","49.1","50.8","0.1"
"30歳未満","35.3","64.7","0.0"
"30～39歳","43.8","56.1","0.1"
"40～49歳","59.8","40.1","0.1"
"50歳以上","66.2","33.8","0.0"
