"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"たくさん見た","112","37.1","139","44.1"
"ときどき見た","170","56.3","154","49.0"
"一度も見ていない","14","4.6","7","2.2"
"テレビ、ビデオ、映画を見たことがないのでわからない","2","0.7","8","2.5"
"無記入","4","1.3","7","2.2"
"合計","302","100.0","315","100.0"
