"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"一度も吸ったことはない","294","97.3","298","94.6"
"6歳以前","2","0.7","1","0.3"
"7～8歳","1","0.3","","0.0"
"11～12歳","2","0.7","","0.0"
"13～14歳","","0.0","5","1.6"
"15歳ごろ","","0.0","1","0.3"
"無記入","3","1.0","10","3.2"
"合計","302","100.0","315","100.0"
