"食品群別","総数／平均値","総数／標準化比","総数／標準偏差","総数／標準誤差","1～6歳／平均値","1～6歳／標準偏差","1～6歳／標準誤差","7～14歳／平均値","7～14歳／標準偏差","7～14歳／標準誤差","15～19歳／平均値","15～19歳／標準偏差","15～19歳／標準誤差","20～29歳／平均値","20～29歳／標準偏差","20～29歳／標準誤差","30～39歳／平均値","30～39歳／標準偏差","30～39歳／標準誤差","40～49歳／平均値","40～49歳／標準偏差","40～49歳／標準誤差","50～59歳／平均値","50～59歳／標準偏差","50～59歳／標準誤差","60～69歳／平均値","60～69歳／標準偏差","60～69歳／標準誤差","70歳以上／平均値","70歳以上／標準偏差","70歳以上／標準誤差","(再掲)20歳以上／平均値","(再掲)20歳以上／標準偏差","(再掲)20歳以上／標準誤差"
"調査人数","228","","","","7","","","17","","","12","","","12","","","14","","","46","","","30","","","41","","","49","","","192","",""
"総量(g/日)","2088.1","112.1","667.6","44.2","1497.8","400.2","151.2","1798.6","332.6","80.7","2135.2","605.6","174.8","1793.6","752.0","217.1","2110.4","400.8","107.1","2197.6","687.4","101.4","2261.4","588.6","107.5","2213.6","748.4","116.9","2013.1","722.9","103.3","2132.3","687.0","49.6"
"動物性食品(g/日)","339.7","112.3","180.7","12.0","354.8","180.1","68.1","397.7","145.6","35.3","425.6","275.4","79.5","308.6","170.1","49.1","370.2","139.9","37.4","292.1","155.7","23.0","366.1","204.0","37.2","380.5","181.5","28.3","289.7","168.7","24.1","328.7","175.3","12.7"
"植物性食品(g/日)","1748.4","112.0","617.6","40.9","1143.0","481.4","181.9","1400.8","374.9","90.9","1709.6","547.4","158.0","1485.0","678.1","195.8","1740.2","418.2","111.8","1905.5","637.6","94.0","1895.3","573.3","104.7","1833.1","689.8","107.7","1723.4","610.2","87.2","1803.6","624.2","45.0"
"穀類(g/日)","344.8","92.4","162.1","10.7","264.2","166.5","62.9","330.6","114.9","27.9","412.1","181.1","52.3","322.8","181.3","52.3","349.8","175.3","46.8","395.5","156.1","23.0","363.8","230.4","42.1","309.5","134.9","21.1","319.2","127.5","18.2","344.8","163.8","11.8"
"米･加工品(g/日)","229.2","85.8","142.6","9.4","163.7","93.9","35.5","236.8","143.0","34.7","319.5","191.8","55.4","264.6","188.0","54.3","204.3","133.5","35.7","272.6","155.7","23.0","233.3","140.0","25.6","176.2","120.1","18.8","213.4","112.6","16.1","225.3","139.2","10.0"
"小麦･加工品(g/日)","105.8","106.0","98.5","6.5","99.4","133.5","50.5","92.7","88.8","21.5","92.6","85.7","24.7","54.4","62.1","17.9","133.2","119.8","32.0","113.9","92.6","13.7","101.7","105.2","19.2","127.2","104.9","16.4","96.2","95.4","13.6","108.0","99.2","7.2"
"いも類(g/日)","44.7","88.2","53.7","3.6","17.2","27.6","10.4","64.8","69.4","16.8","97.3","59.0","17.0","46.9","46.2","13.3","29.5","39.8","10.6","33.5","48.8","7.2","56.3","66.5","12.1","45.5","52.4","8.2","35.4","41.6","5.9","40.7","50.5","3.6"
"砂糖･甘味料類(g/日)","6.5","99.0","8.9","0.6","2.0","2.0","0.7","3.4","4.3","1.1","5.3","7.8","2.3","5.8","6.7","1.9","9.8","11.9","3.2","6.1","9.3","1.4","4.4","5.3","1.0","9.9","11.9","1.9","6.5","7.9","1.1","7.0","9.3","0.7"
"豆類(g/日)","52.9","92.4","77.3","5.1","33.8","44.8","16.9","34.3","34.8","8.4","26.6","24.0","6.9","82.1","167.8","48.4","36.9","53.3","14.2","50.4","68.6","10.1","69.2","105.5","19.3","45.1","56.4","8.8","64.6","73.9","10.6","56.9","82.5","6.0"
