"年度","小学校(%)","中学校(%)","高校(%)","特別支援学校(%)"
"20","11.9","23.4","29.2","21.4"
"21","10.0","19.9","21.9","24.1"
"22","8.6","18.5","22.7","22.9"
"23","9.2","22.4","26.9","30.2"
"24","7.2","18.3","24.8","17.2"
