"","事業所名","平成27年度／定員","平成27年度／対象者延人数","平成27年度／工賃支払総額","平成27年度／工賃平均額"
"1","豊芯会フードサービス事業部","15","250","19225087","76900.3"
"2","こぶし事業所","17","204","25693433","125948.2"
"3","かすたねっと","20","72","7544448","104784.0"
"4","クリーニングフランセ","20","151","16018607","106083.5"
"5","就労継続支援Ａ型事業所かがやき","24","130","11153606","85797.0"
"6","自立支援センターまめの樹","27","467","24364841","52173.1"
"7","コロニー東村山","15","159","22979549","144525.5"
"8","ワークセンターけやき","10","88","6869306","78060.3"
"9","プロシード","10","168","15447140","91947.3"
"10","うきま幸朋苑ブレッド＆バター","12","99","9079057","91707.6"
"11","竹の塚ひまわり園","13","140","15110286","107930.6"
"12","しごとも","30","429","29022470","67651.4"
"13","ワークショップハーモニー","32","48","6515124","135731.8"
"14","カフェフレンド","10","120","17978000","149816.7"
"15","ともにー","20","323","41338684","127983.5"
"16","パン工房プクプク","20","162","11096347","68496.0"
"17","綾瀬ひまわり園","10","123","13569951","110324.8"
"18","コロニー中野","10","98","13489300","137645.9"
"19","西府いこいプラザ","10","92","6662251","72415.8"
"20","クローバーズ・ピア日本橋","80","550","30528209","55505.8"
"21","中央区立知的障害者生活支援施設レインボーハウス明石","10","76","5401067","71066.7"
"22","ぽむの樹","10","111","6768301","60975.7"
"23","福祉工場しながわ","40","461","54123728","117405.0"
"24","銀杏","10","174","10652285","61220.0"
"25","アイエスエフネットライフ青山","52","613","92552704","150983.2"
"26","ベジティア合同会社","20","229","20455691","89341.8"
"27","きせん事業所","10","114","6762810","59322.9"
"28","スワンカフェ＆ベーカリー町田２号店","20","204","14388780","70533.2"
"29","わくわく配食サービス","15","199","13574319","68212.7"
"30","ストローク・サービス","13","305","18758230","61502.4"
"31","社会福祉法人東京コロニー 東京都大田福祉工場","30","303","73166009","241472.0"
"32","東京都板橋福祉工場 就労継続支援Ａ型事業所","20","118","32130577","272293.0"
"33","谷在家福祉作業所","10","92","10043185","109165.1"
"34","社会福祉法人東京コロニー 東京都葛飾福祉工場","40","584","149635104","256224.5"
"35","レッツ・エンジョイ","20","288","21863354","75914.4"
"36","ＥＯＳファーム日本橋","20","203","15368905","75708.9"
"37","アイエスエフネットベネフィット青山","20","280","32981049","117789.5"
"38","あかねっこ弁当","30","109","9619473","88252.0"
"39","東京ソテリアエンプロイメント","20","205","12789182","62386.3"
"40","みくま","10","114","9424015","82666.8"
"41","めぐろ","20","416","31974457","76861.7"
"42","三鷹ひまわり第一共同作業所","10","","",""
"43","ワークワーク東京","10","83","8838847","106492.1"
"44","びおら株式会社 地域貢献事業部","10","47","3134380","66688.9"
"45","あしか","30","341","22436623","65796.5"
"46","作業所スカイ","10","120","8496409","70803.4"
"47","すくらむ事業所","13","156","16211347","103918.9"
"48","大滝チャレンジド","18","180","20812348","115624.2"
"49","オフィスサプライ東京","10","290","14542142","50145.3"
"50","滝山事業所","11","120","16522475","137687.3"
"51","アイリス","20","446","32094277","71960.3"
"52","スワンカフェ＆ベーカリー町田１号店","20","207","16239620","78452.3"
"53","シエル","20","410","28737256","70090.9"
"54","ステップアップともにー","20","254","29437096","115894.1"
"55","ナチュラルプランツ・サポート","15","170","14278299","83990.0"
"56","こもれび 赤坂本社","25","309","18524630","59950.3"
"57","草むらde夢（畑deきっちん）","15","140","15803523","112882.3"
"58","イーストフライト","10","81","8208079","101334.3"
"59","赤オニの家","14","104","5932573","57044.0"
"60","就労継続支援A型 エヴリィ","10","96","7682712","80028.3"
"61","きぼう工房東くるめ","10","25","1680004","67200.2"
"62","こうめ","20","326","21776438","66798.9"
"63","ハートエース","20","403","30911532","76703.6"
"64","立川おりおん","20","310","20623973","66528.9"
"65","自立支援塾ぱん工房","10","66","7868617","119221.5"
"66","阿梨ヶ舎","20","178","13633156","76590.8"
"67","フリージア","20","216","15227104","70495.9"
"68","ラトリエ ソサイエティ","20","221","18197878","82343.3"
"69","アップドラフト","20","241","15918975","66053.8"
"70","フロー・ネット","24","173","9032590","52211.5"
"71","エコミラ江東","20","159","17276242","108655.6"
"72","ラピス","20","154","10226176","66403.7"
"73","アトリエ・レダクラフト","20","53","2889204","54513.3"
"74","ワークプレイスぶんぶん","10","37","3591697","97072.9"
"75","明日楽","20","238","14916862","62675.9"
"76","はちす","10","89","5643762","63413.1"
"77","えがおワークス","20","78","4684910","60062.9"
"78","くじら","20","167","10057863","60227.0"
"79","すまいる・さぽーと品川","20","98","6209020","63357.3"
"80","ヒューマングロー亀戸","20","180","11830000","65722.2"
"81","ホープ就労支援センター渋谷","20","131","8044446","61408.0"
"82","プレスト池上","20","13","1013119","77932.2"
"83","Scopo","10","24","1381267","57552.8"
"84","ウィズミー","20","74","4776710","64550.1"
"85","就労支援事業所 コイノニア","10","14","1327016","94786.9"
"86","東京都育成会 クリーンサービス","12","21","1300390","61923.3"
"87","ダイニング 街なか","10","44","3733550","84853.4"
"88","アース","20","55","3804868","69179.4"
"89","ディーセント・ワーク平山台","23","50","4076692","81533.8"
"90","ぽぷら八王子","10","40","5445165","136129.1"
"91","のんの","10","0","0","0.0"
"","","","16503","1551150783","93992.3"
