"保険者番号","保険者別","受診率／入院","受診率／入院外","受診率／歯科","受診率／計","1件当たり日数／入院(日)","1件当たり日数／入院外(日)","1件当たり日数／歯科(日)","1件当たり日数／計(日)","1日当たり費用額／入院(円)","1日当たり費用額／入院外(円)","1日当たり費用額／歯科(円)","1日当たり費用額／計(円)","1人当たり費用額／入院(円)","1人当たり費用額／入院外(円)","1人当たり費用額／歯科(円)","1人当たり費用額／計(円)"
"29","府中市","0.000","800.000","400.000","1200.000","","1.96","1.33","1.75","","4931","11723","6656","0","77250","62523","139773"
"30","昭島市","0.000","100.000","100.000","200.000","","1.00","1.00","1.00","","9270","9290","9280","0","9270","9290","18560"
"31","調布市","100.000","700.000","0.000","800.000","22.5","1.21","","3.88","71931","4904","","53553","1618450","41685","0","1660135"
"32","町田市","50.000","650.000","150.000","850.000","2.00","1.69","1.33","1.65","5915","3356","7190","4087","5915","36920","14380","57215"
"33","福生市","","","","","","1.00","","1.00","","3500","","3500","","","",""
"34","羽村市","","","","","","","","","","","","","","","",""
"35","瑞穂町","","","","","","","","","","","","","","","",""
"36","あきる野市","","","","","","","","","","","","","","","",""
"37","日の出町","","","","","","","","","","","","","","","",""
"39","檜原村","","","","","","","","","","","","","","","",""
"40","奥多摩町","","","","","","","","","","","","","","","",""
"42","日野市","100.000","700.000","0.000","800.000","7.00","1.57","","2.25","39157","4294","","17852","274100","47230","0","321330"
"44","多摩市","0.000","0.000","0.000","0.000","","","","","","","","","0","0","0","0"
"45","稲城市","0.000","1000.000","0.000","1000.000","","1.30","","1.30","","3107","","3107","0","40390","0","40390"
"46","国立市","","","","","","","","","","","","","","","",""
"47","狛江市","0.000","0.000","100.000","100.000","","","1","1","","","5040","5040","0","0","5040","5040"
"48","小金井市","0.000","0.000","0.000","0.000","","","","","","","","","0","0","0","0"
"49","国分寺市","","","","","","","","","","","","","","","",""
"51","武蔵村山市","0.000","2600.000","300.000","2900.000","","2.08","2.00","2.07","","4353","10533","4971","0","235050","63200","298250"
"52","東大和市","0.000","2000.000","0.000","2000.000","","1.55","","1.55","","6623","","6623","0","205310","0","205310"
"53","東村山市","","","","","","2.9","1.50","2.67","","2795","4067","2914","","","",""
"54","清瀬市","","","","","","","","","","","","","","","",""
"55","東久留米市","0.000","0.000","0.000","0.000","","","","","","","","","0","0","0","0"
"57","西東京市","0.000","866.667","0.000","866.667","","3.38","","3.38","","6438","","6438","0","188853","0","188853"
"58","小平市","","","","","","3.50","","3.50","","2361","","2361","","","",""
"59","大島町","","","","","","","","","","","","","","","",""
"60","利島村","","","","","","","","","","","","","","","",""
"61","新島村","","","","","","","","","","","","","","","",""
"62","神津島村","","","","","","","","","","","","","","","",""
"63","三宅村","","","","","","","","","","","","","","","",""
"64","御蔵島村","","","","","","","","","","","","","","","",""
"65","八丈町","","","","","","","","","","","","","","","",""
"66","青ヶ島村","","","","","","","","","","","","","","","",""
"67","小笠原村","","","","","","","","","","","","","","","",""
