"","発見のきっかけから事実確認に入るまでの期間","回答数","構成比(%)"
"1","半日（１２時間）未満","111","23.9"
"2","半日～１日（２４時間）未満","52","11.2"
"3","１日～２日（４８時間）未満","42","9.0"
"4","２日～３日未満","28","6.0"
"5","３日～１週間未満","61","13.1"
"6","１週間～２週間未満","55","11.8"
"7","２週間～１ヶ月未満","35","7.5"
"8","１ヶ月以後","30","6.5"
"9","不明","46","9.9"
"0","無回答","5","1.1"
"","合計","465","100.0"
