"","平成7年／n","平成7年／Mean","平成7年／SD","平成8年／n","平成8年／Mean","平成8年／SD","平成9年／n","平成9年／Mean","平成9年／SD","平成10年／n","平成10年／Mean","平成10年／SD"
"1群","122","78.8","11.8","118","78.3","10.7","108","77.9","10.8","105","79.3","12.4"
"2群","321","80.0","11.3","294","79.7","11.4","273","79.4","10.3","286","78.9","12.3"
"3群","193","79.9","11.2","164","79.7","10.6","167","77.9","10.2","168","78.2","10.7"
