"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","87.3","10.9","0.7","0.4","0.7"
"19","86.3","11.9","0.4","0.5","0.9"
"14","83.3","13.6","0.6","0.4","2.1"
