"","児童扶養手当／受給者(人)","児童扶養手当／対象児童数(人)","児童育成手当／受給者(人)","児童育成手当／対象児童数(人)"
"H21","77428","115011","114257","163387"
"H22","82894","122640","116843","167158"
"H23","83794","123285","117973","168980"
"H24","84238","123207","118128","169212"
"H25","83615","121735","117865","168624"
