"","使ってみたい(％)","興味がある(％)","使いたくない(％)","使う必要はない(％)","無回答(％)"
"小学5年生","27.5","27.0","12.7","31.0","1.8"
"中学2年生","31.9","28.9","8.8","29.0","1.4"
"16-17歳","34.7","27.4","5.4","30.2","2.3"
