"","就労するための条件(%)"
"短時間の職場があれば","59.0"
"家に近い職場があれば","42.3"
"希望する労働条件であれば","40.9"
"子育てに手がかからなくなったら","40.9"
"能力を活かせる職場があれば","21.1"
"子どもを預けられたら","17.2"
