"","区市町村数","内訳"
"整備済","3","（区部）2区  新宿区、荒川区／（市町村部）1市  八王子市"
"整備中","9","（区部）７区  中央区、品川区、目黒区、大田区、世田谷区、中野区、豊島区／（市町村部）２市  調布市、国分寺市"
"検討中","50",""
