"(単位：人)","18年度末","19年度末","20年度末","21年度末","22年度末"
"知的／ＧＨ","1049","1103","1125","1037","1026"
"知的／ＣＨ","1386","1600","1822","2306","2668"
"知的／計","2435","2703","2947","3343","3694"
"精神／ＧＨ","717","805","916","964","1066"
"精神／ＣＨ","5","20","56","116","156"
"精神／計","722","825","972","1080","1222"
"合計","3157","3528","3919","4423","4916"
