"","7年度","8年度","9年度","10年度","11年度","計"
"男子／Ａ群","546","525","474","499","497","2541"
"男子／Ｂ群","216","239","222","206","193","1076"
"男子／Ｃ群","429","463","402","367","335","1996"
"男子／Ｄ群","577","616","561","543","500","2797"
"男子／Ａ群／B群／C群／D群","1768","1843","1659","1615","1525","8410"
"女子／Ａ群","507","524","501","487","426","2445"
"女子／Ｂ群","217","208","202","206","193","1026"
"女子／Ｃ群","396","406","412","403","364","1981"
"女子／Ｄ群","562","585","535","482","456","2620"
"女子／Ａ群／B群／C群／D群","1682","1723","1650","1578","1439","8072"
"計／Ａ群","1053","1049","975","986","923","4986"
"計／Ｂ群","433","447","424","412","386","2102"
"計／Ｃ群","825","869","814","770","699","3977"
"計／Ｄ群","1139","1201","1096","1025","956","5417"
"計／Ａ群／B群／C群／D群","3450","3566","3309","3193","2964","16482"
