"","認可保育所(人)","認証保育所(人)","認定こども園(人)","家庭的保育事業(人)","小規模保育事業(人)","定期利用保育事業(人)","区市町村単独施策(人)","合計(人)"
"平成22年度","172797","15744","1375","1455","","12","2149","193532"
"平成23年度","178955","17399","1880","1646","","206","2336","202422"
"平成24年度","185263","20065","2365","1866","","588","2494","212641"
"平成25年度","193150","21796","2915","2027","","817","2629","223334"
"平成26年度","202008","22608","3304","2394","676","932","2989","234911"
