"保険者番号","保険者別","料(税)率／所得割(%)","料(税)率／資産割(%)","料(税)率／均等割(円)","料(税)率／平等割(円)","料(税)率／その他","賦課限度額(千円)","賦課期日現在／所得割の課税対象額(千円)","賦課期日現在／資産割の課税対象額(千円)","賦課期日現在／課税対象世帯数(世帯)","賦課期日現在／課税対象被保険者数(人)","賦課期日現在／軽減世帯数(世帯)","賦課期日現在／災害等による減免世帯数(世帯)","賦課期日現在／その他の減免世帯数(世帯)","賦課期日現在／限度額を超える世帯数(世帯)","所得割の算定基礎","資産割の算定基礎","備考"
"","公営計","62","16","62","21","","","3518178957","7254009","2291872","3488183","954557","239","13811","67072","","",""
"","特別区計","23","","23","","","","2560774786","","1622408","2411760","666566","110","8507","55069","","",""
"","市町村計","39","16","39","21","","","957404171","7254009","669464","1076423","287991","129","5304","12003","","",""
"","多摩計","30","7","30","12","","","949614314","7112218","662777","1065559","284992","129","5301","11953","","",""
"","島しょ計","9","9","9","9","","","7789857","141791","6687","10864","2999","0","3","50","","",""
"","組合計","","","","","22","","","","605602","1294912","","432","695","0","","",""
"1","千代田区","6.45","","33900","","","520","28792343","","8162","11819","2879","0","45","782","イ","","-課税(賦課)標準-"
"2","中央区","6.45","","33900","","","520","43158615","","21652","30485","8110","0","0","1233","イ","",""
"3","港区","6.45","","33900","","","520","160625443","","44262","62625","16321","3","217","3354","イ","","所得割の算定基礎"
"4","新宿区","6.45","","33900","","","520","102062187","","78893","104406","32969","4","293","1926","イ","",""
"5","文京区","6.45","","33900","","","520","60993120","","33099","47401","11978","2","213","1827","イ","","イ 旧ただし書方式による基礎控除後の金額"
"6","台東区","6.45","","33900","","","520","57873019","","39957","58724","16702","3","103","1366","イ","",""
"7","墨田区","6.45","","33900","","","520","57536139","","45751","69234","20538","0","91","1066","イ","",""
"8","江東区","6.45","","33900","","","520","103061035","","78660","120287","34582","15","293","1973","イ","",""
"9","品川区","6.45","","33900","","","520","96394105","","62013","90269","25214","1","241","2172","イ","","ロ 本文方式による所得控除及び基礎控除後の金額"
"10","目黒区","6.45","","33900","","","520","106608233","","48311","68956","16984","0","355","2186","イ","",""
"11","大田区","6.45","","33900","","","520","171530584","","111616","168852","44885","11","692","3859","イ","",""
"12","世田谷区","6.45","","33900","","","520","294155226","","147223","216575","53205","7","1031","7191","イ","",""
"13","渋谷区","6.45","","33900","","","520","120157609","","46159","62952","16964","1","374","3065","イ","",""
"14","中野区","6.45","","33900","","","520","90878035","","66215","90213","26719","10","277","1728","イ","","ハ 市町村民税の所得割額"
"15","杉並区","6.45","","33900","","","520","162341240","","100149","140732","36646","6","825","3403","イ","",""
"16","豊島区","6.45","","33900","","","520","84246047","","63297","86039","27389","5","200","1806","イ","","ニ 市町村民税額等"
"17","北区","6.45","","33900","","","520","67957431","","63238","92956","29594","5","183","1377","イ","",""
"18","荒川区","6.45","","33900","","","520","47939200","","40731","62453","18381","0","0","930","イ","","ホ その他"
"19","板橋区","6.45","","33900","","","520","124293322","","96943","145678","42190","1","442","2332","イ","",""
"20","練馬区","6.45","","33900","","","520","180038501","","115222","178176","46842","10","603","3831","イ","",""
"21","足立区","6.45","","33900","","","520","154974981","","121914","199468","54265","13","947","3068","イ","","－資産割の算定基礎－"
"22","葛飾区","6.45","","33900","","","520","98130080","","78325","124670","35031","3","254","1786","イ","",""
"23","江戸川区","6.45","","33900","","","520","147028291","","110616","178790","48178","10","828","2808","イ","","イ 固定資産税額等"
"24","八王子市","4.70","","24500","","","510","120728893","","92138","150352","39934","6","664","1269","イ","","ロ 固定資産税のうち土地家屋に係る部分の額"
"25","立川市","6.06","","28700","","","520","40554005","","28779","45760","12897","1","145","722","イ","",""
"26","武蔵野市","4.70","","22500","","","510","45391079","","23260","34212","8820","4","207","739","イ","",""
"27","三鷹市","4.70","","24400","","","510","53234981","","28438","43619","11098","4","293","711","イ","",""
"28","青梅市","5.25","","25300","","","520","27307662","","22505","37528","10325","1","121","267","イ","","ハ その他"
"29","府中市","4.63","","22920","","","510","55376739","","38093","60796","16163","3","292","657","イ","",""
"30","昭島市","4.85","","25000","","","520","23003308","","18374","29856","8409","0","62","240","イ","",""
"31","調布市","4.65","","22800","","","510","53487031","","35117","54128","14390","2","367","688","イ","",""
"32","町田市","4.08","","19700","9000","","520","97659338","","65915","108002","27561","8","809","913","イ","",""
"33","福生市","4.70","","24000","","","520","12864415","","11569","18049","5549","0","29","121","イ","",""
"34","羽村市","5.10","","23000","","","520","11824911","","9245","15422","3908","0","44","133","イ","",""
"35","瑞穂町","4.74","","21500","","","520","9083635","","6050","10904","2645","3","4","90","イ","",""
"36","あきる野市","4.63","7.50","20000","10800","","520","17586519","886494","13428","23433","5773","0","105","171","イ","ロ",""
"37","日の出町","4.90","","24100","","","520","3630784","","2819","5048","1175","0","28","29","イ","",""
"39","檜原村","4.60","","19000","","","520","419068","","467","750","249","0","0","2","イ","",""
