"","とても思う（＝孤独を感じない）(％)","思う(％)","あまり思わない(％)","思わない（＝孤独を感じる）(％)","無回答(％)"
"困窮層","15.5","39.9","26.9","17.0","0.7"
"周辺層","18.9","37.6","27.8","15.1","0.6"
"一般層","21.3","40.9","25.9","10.4","1.5"
