"","総数","0歳児","1歳児","2歳児","3歳児","4歳児以上"
"取扱人員（4月）","159715","11805","21857","26992","31630","67431"
"入所児童数・4月","157163","10132","22134","27820","31653","65424"
"入所児童数・10月","161523","11769","22968","28450","32228","66108"
