"地域","人口（人）","面積（平方キロメートル）"
"東京都","13637348","2193.96"
"島部合計","26048","401.77"
"大島町","7880","90.76"
"利島村","321","4.12"
"新島村","2724","27.54"
"神津島村","1894","18.58"
"三宅村","2538","55.26"
"御蔵島村","324","20.54"
"八丈町","7560","72.23"
"青ヶ島村","166","5.96"
"小笠原村","2641","106.78"
