"地区","略称","昭和60年","昭和61年","昭和62年","昭和63年","平成元年","平成2年","平成3年","平成4年","平成5年","平成6年","平成7年","平成8年","平成9年","平成10年","前半","後半","計"
"NO2(ppb)／青梅市","青梅","17","17","19","19","18","17","19","19","19","18","17","20","20","20","18","19","19"
"NO2(ppb)／東大和市","東大和","18","21","22","21","23","24","25","25","24","23","24","25","26","24","22","24","23"
"NO2(ppb)／八王子市","八王子1","26","28","31","30","30","30","33","32","33","32","34","32","","","30","33","31"
"NO2(ppb)／中野区","中野","31","27","31","31","30","27","31","29","29","30","29","31","31","32","30","30","30"
"NO2(ppb)／豊島区","文京","31","31","34","35","36","37","38","35","36","38","38","38","38","31","35","36","35"
"NO2(ppb)","板橋","32","35","36","36","36","37","39","38","38","38","39","38","36","34","36","37","37"
"NO2(ppb)／品川区","品川1","27","30","29","33","32","31","36","34","43","43","42","40","42","29","31","39","35"
"NO2(ppb)／足立区","足立1","32","32","30","31","31","31","34","31","33","32","32","32","33","32","32","32","32"
"SPM(μg/m3)／青梅市","青梅","33","41","44","44","44","50","43","37","30","28","30","31","30","41","43","32","38"
"SPM(μg/m3)／東大和市","東大和","50","53","54","46","46","46","48","42","50","51","52","51","47","46","49","48","49"
"SPM(μg/m3)／八王子市","八王子","46","44","59","51","52","56","63","56","52","52","54","53","","","53","53","53"
"SPM(μg/m3)／中野区","中野","51","54","55","46","54","49","53","45","39","40","42","42","43","47","52","43","47"
"SPM(μg/m3)／豊島区","文京","48","48","53","44","53","52","43","37","36","37","39","36","37","50","49","39","44"
"SPM(μg/m3)","板橋","56","58","61","52","54","55","61","52","49","61","65","69","57","47","57","57","57"
"SPM(μg/m3)／品川区","品川","50","56","57","49","62","62","58","52","44","46","45","41","42","42","56","45","50"
"SPM(μg/m3)／足立区","足立","55","59","65","55","63","57","65","54","49","50","50","48","47","47","60","49","55"
