"年","0歳児(%)","1歳児(%)","2歳児(%)","3歳児(%)","4歳児以上(%)","2歳児以下(%)","全体(%)"
"20","","","","","","",""
"21","","","","","","",""
"22","","","","","","",""
"23","","","","","","",""
"24","","","","","","",""
"25","","","","","","",""
"26","","","","","","",""
