"","全面禁煙(%)","一部禁煙(%)","未実施(%)"
"飲食店／n=888","17","13","70"
"公衆浴場／n=21","67","33","0"
"プール施設／n=24","79","21","0"
"理容室／n=58","9","5","86"
"美容室／n=35","31","14","55"
"旅館／n=27","0","59","41"
"特定建築物／n=99","30","68","2"
