"","１室(％)","２室(％)","３室(％)","４室(％)","５室(％)","６室以上(％)","無回答(％)"
"小学5年生","0.5","4.4","23.3","41.4","18.7","8.5","3.2"
"中学2年生","0.4","4.5","22.2","37.7","21.8","9.7","3.6"
"16-17歳","0.4","4.7","20.1","36.1","22.3","12.9","3.5"
