"","大変満足(%)","満足(%)","やや満足(%)","どちらともいえない(%)","やや不満(%)","不満(%)","非常に不満(%)","無回答(%)","サンプル数","平均"
"TOTAL","7.4","29.5","26.6","28.2","4.2","","","","8214","1.0"
"正規職員","6.9","29.3","28.3","26.2","5.2","","","","4702","1.0"
"有期契約職員フルタイム","7.8","27.5","24.8","30.2","5.4","","","","886","0.9"
"有期契約職員パートタイム","8.1","30.8","24.1","31.3","","","","","2536","1.1"
