"食品群別","亜鉛(mg)","ビタミンD(μg)","ビタミンE(mgα-TE)","ビタミンK(μg)","ビタミンB6(mg)","ビタミンB12(μg)","葉酸(μｇ)","パントテン酸(mg)","ビオチン(mg)","マンガン(μｇ)","ヨウ素(mgα-TE)","セレン(μｇ)","クロム(mg)","モリブデン(μｇ)"
"馬肉","0.30","0.00","0.00","8","0.06","0.10","2","0.27","0.60","0.00","0","2","0","0"
"鶏肉","0.30","0.00","0.00","8","0.06","0.10","2","0.27","0.60","0.00","0","2","0","0"
"その他の馬肉","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"肉類(内臓)","0.00","0.00","0.00","0","0.00","0.30","6","0.05","1.10","0.00","0","0","0","1"
"その他の肉類","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"鯨肉","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"その他の肉･加工品","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"卵類","0.40","0.60","0.30","4","0.02","0.30","12","0.44","0.00","0.01","0","0","0","0"
"乳類","0.70","0.30","0.20","2","0.04","0.50","7","0.69","2.30","0.00","19","4","0","5"
"牛乳､乳製品","0.70","0.30","0.20","2","0.04","0.50","7","0.69","2.30","0.00","19","4","0","5"
"牛乳","0.40","0.20","0.10","2","0.03","0.30","4","0.49","1.40","0.00","13","2","0","3"
"チーズ","0.20","0.00","0.10","0","0.00","0.10","1","0.01","0.00","0.00","0","0","0","0"
"発酵乳･乳酸菌飲料","0.10","0.00","0.00","0","0.01","0.10","2","0.16","0.80","0.00","5","1","0","1"
"その他の乳製品","0.00","0.00","0.00","0","0.00","0.00","0","0.03","0.10","0.00","0","0","0","0"
"その他の乳類","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"油脂類","0.00","0.00","1.30","13","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"バター","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"マーガリン","0.00","0.00","0.20","1","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"植物性油脂","0.00","0.00","1.10","12","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"動物性油脂","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"その他の油脂","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"菓子類","0.20","0.10","0.20","1","0.01","0.00","4","0.14","0.50","0.06","4","1","0","2"
"和菓子類","0.10","0.00","0.00","0","0.01","0.00","2","0.05","0.10","0.04","2","0","0","2"
"ケーキ･ペストリー類","0.00","0.00","0.10","1","0.00","0.00","1","0.04","0.00","0.01","0","0","0","0"
"ビスケット類","0.00","0.00","0.00","0","0.00","0.00","0","0.01","0.00","0.01","0","0","0","0"
"キャンデー類","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"その他の菓子類","0.00","0.00","0.10","0","0.00","0.00","1","0.04","0.30","0.01","2","0","0","0"
"嗜好飲料類","0.20","0.00","0.00","3","0.05","0.00","29","0.12","3.90","0.68","1","0","0","0"
"アルコール飲料","0.00","0.00","0.00","0","0.03","0.00","4","0.06","0.40","0.03","0","0","0","0"
"日本酒","0.00","0.00","0.00","0","0.01","0.00","0","0.00","0.00","0.02","0","0","0","0"
"ビール","0.00","0.00","0.00","0","0.02","0.00","4","0.06","0.30","0.01","0","0","0","0"
"洋酒･その他","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.10","0.01","0","0","0","0"
"その他の嗜好飲料","0.20","0.00","0.00","3","0.02","0.00","26","0.06","3.50","0.65","0","0","0","0"
"茶","0.00","0.00","0.00","3","0.02","0.00","26","0.05","1.20","0.61","0","0","0","0"
"コーヒー､ココア","0.00","0.00","0.00","0","0.00","0.00","0","0.01","2.10","0.04","0","0","0","0"
"その他の嗜好飲料","0.20","0.00","0.00","0","0.00","0.00","0","0.00","0.20","0.00","0","0","0","0"
"調味料･香辛料類","0.30","0.00","0.50","5","0.06","0.10","12","0.17","2.60","0.04","277","3","1","10"
"調味料","0.30","0.00","0.50","5","0.06","0.10","12","0.17","2.60","0.03","277","3","1","10"
"ソース","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.10","0.00","0","0","0","0"
"しようゆ","0.10","0.00","0.00","0","0.02","0.00","4","0.05","1.30","0.00","0","1","0","5"
"塩","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"マヨネーズ","0.00","0.00","0.20","3","0.00","0.00","0","0.01","0.20","0.00","0","0","0","0"
"味噌","0.10","0.00","0.00","1","0.01","0.00","5","0.01","0.80","0.01","0","1","0","4"
"その他の調味料","0.10","0.00","0.20","1","0.03","0.10","4","0.09","0.20","0.02","276","1","0","0"
"香辛料･その他","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.01","0","0","0","0"
"栄養素調整調味料類およびその他の加工食品等","","","","","","","","","","","","","",""
