"","今後も働き続けたい(%)","辞めたい(%)","無回答(%)"
"全体","78.7","18.1","3.2"
"女性20代","73.2","24.2","2.7"
"男性20代","70.8","25.7","3.6"
"女性30代","79.0","18.0","3.0"
"男性30代","78.8","20.2","1.0"
"女性40代","87.1","10.0","2.9"
