"","とても思う(％)","思う(％)","あまり思わない(％)","思わない(％)","無回答(％)"
"Ａ がんばれば、むくわれると思う","34.8","44.2","14.7","4.8","1.5"
"Ｂ自分は価値のある人間だと思う","21.6","43.6","24.8","7.6","2.4"
"Ｃ自分は家族に大事にされていると思う","47.6","41.1","7.5","2.1","1.8"
"Ｄ自分は友だちに好かれていると思う","25.9","55.1","13.3","3.4","2.3"
"Ｅ不安に感じることはないと思う","18.2","31.7","30.9","17.1","2.1"
"Ｆ孤独を感じることはない","29.3","37.4","21.5","9.8","2.0"
"Ｇ自分の将来が楽しみだ","28.2","35.9","24.4","9.6","1.9"
"Ｈ 自分のことが好きだ","22.5","37.3","25.7","12.3","2.2"
