"上段：度数／下段：%","n=","１５分未満","１５分～３０分未満","３０分～１時間未満","１時間以上","無回答","平均値"
"ＴＯＴＡＬ","8214","1799","2404","2695","1171","145","29.6"
"ＴＯＴＡＬ","100","21.9","29.3","32.8","14.3","1.8",""
"性別・年代／女性計","7526","1676","2237","2458","1036","119","29.3"
"性別・年代／女性計","100","22.3","29.7","32.7","13.8","1.6",""
"性別・年代／女性２０代","3297","453","918","1273","604","49","33.7"
"性別・年代／女性２０代","100","13.7","27.8","38.6","18.3","1.5",""
"性別・年代／女性３０代","1612","342","487","516","249","18","30.4"
"性別・年代／女性３０代","100","21.2","30.2","32.0","15.4","1.1",""
"性別・年代／女性４０代","1560","544","502","386","106","22","22.5"
"性別・年代／女性４０代","100","34.9","32.2","24.7","6.8","1.4",""
"性別・年代／女性５０代以上","1005","320","316","267","74","28","23.9"
"性別・年代／女性５０代以上","100","31.8","31.4","26.6","7.4","2.8",""
"性別・年代／男性計","380","51","74","144","98","13","37.7"
"性別・年代／男性計","100","13.4","19.5","37.9","25.8","3.4",""
"性別・年代／男性２０代","281","40","56","109","65","11","36.9"
"性別・年代／男性２０代","100","14.2","19.9","38.8","23.1","3.9",""
"性別・年代／男性３０代以上","99","11","18","35","33","2","40.1"
"性別・年代／男性３０代以上","100","11.1","18.2","35.4","33.3","2.0",""
"性別・年代／無回答","308","72","93","93","37","13","28.0"
"性別・年代／無回答","100","23.4","30.2","30.2","12.0","4.2",""
