"","喫煙する友達いない","喫煙する友達あり"
"小学6年生／n=299(人)","274","25"
"小学6年生／n=299(%)","91.6","8.4"
"中学3年生／n=316(人)","250","66"
"中学3年生／n=316(%)","79.1","20.9"
