"年度","件数","増減(件)","増減（％）"
"27","2419","219","10.0"
"26","2200","148","7.2"
"25","2052","295","16.8"
"24","1757","-220","-11.2"
"23","1977","56","2.9"
"22","1921","262","15.8"
"21","1659","79","5.0"
"20","1580","256","19.3"
"19","1324","124","10.3"
"18","1200","",""
