"","就労するための条件(%)"
"短い時間でも働ける職場があれば","63.1"
"希望する労働条件であれば","44.3"
"家に近い職場があれば","43.5"
"子育てに手がかからなくなったら","31.7"
"子供を預けられたら","22.4"
"末子が小学校に入学したら","18.3"
"能力を活かせる場所があれば","14.4"
"末子が幼稚園に入園したら","11.6"
"家族の理解が得られれば","8.5"
"以前の勤務先に再雇用制度が導入されれば","1.7"
"その他","2.5"
