"","養育費の月額(%)"
"10000円未満","2.8"
"10000～20000円未満","7.5"
"20000～40000円未満","23.6"
"40000～60000円未満","26.4"
"60000～80000円未満","9.4"
"80000～100000円未満","7.5"
"100000円以上","14.2"
"額は決まっていない","5.7"
