"","9-12歳","13-15歳","16-18歳"
"その他","","",""
"プレーパーク","","",""
"商業施設","","",""
"習い事・塾","","",""
"自然の場所","","",""
"空き地","","",""
"公園","","",""
"児童館などの公共施設","","",""
"学校","","",""
"友だちの家","","",""
"自分の家","","",""
