"(単位：千円、%)","計画値","実績","実績/計画"
"大島町","823802","741580","90.02"
"利島村","22008","19233","87.39"
"新島村","365887","337326","92.19"
"神津島村","179861","195009","108.42"
"三宅村","296139","270966","91.50"
"御蔵島村","14877","6458","43.41"
"八丈町","911178","936905","102.82"
"青ヶ島村","13962","14965","107.18"
"小笠原村","73045","41437","56.73"
