"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","1.13","0.39","0.25","0.6","0.7","0.88","1.08","1.35","1.62","1.77","2.26"
"1～2歳","4","0.58","0.33","0.17","0.21","0.26","0.42","0.6","0.76","0.87","0.91","0.94"
"3～5歳","5","0.71","0.13","0.59","0.59","0.59","0.6","0.71","0.76","0.84","0.86","0.88"
"6～7歳","6","0.96","0.14","0.71","0.76","0.81","0.94","0.97","1.06","1.09","1.1","1.1"
"8～9歳","3","0.99","0.24","0.72","0.75","0.79","0.9","1.09","1.13","1.15","1.16","1.16"
"10～11歳","5","1.08","0.21","0.82","0.84","0.86","0.93","1.11","1.2","1.28","1.31","1.33"
"12～14歳","8","1.14","0.38","0.59","0.67","0.78","0.87","1.1","1.42","1.63","1.64","1.65"
"15～17歳","6","1.13","0.28","0.73","0.78","0.85","0.98","1.11","1.3","1.42","1.46","1.49"
"18～29歳","20","1.17","0.36","0.67","0.81","0.82","0.86","1.13","1.38","1.67","1.79","1.9"
"30～49歳","42","1.02","0.37","0.36","0.61","0.65","0.81","0.96","1.15","1.45","1.62","2.11"
"50～69歳","60","1.23","0.38","0.59","0.72","0.87","0.98","1.12","1.49","1.66","1.78","2.38"
"70歳以上","46","1.19","0.43","0.28","0.68","0.83","0.92","1.19","1.39","1.66","1.78","2.43"
"女性総数","228","1.03","0.4","0.24","0.48","0.58","0.8","1","1.2","1.44","1.65","2.33"
"1～2歳","3","0.63","0.14","0.49","0.5","0.52","0.56","0.64","0.7","0.73","0.74","0.75"
"3～5歳","2","0.95","0.07","0.9","0.9","0.91","0.92","0.95","0.97","0.99","0.99","1"
"6～7歳","6","0.66","0.2","0.48","0.49","0.5","0.53","0.62","0.69","0.86","0.94","1"
"8～9歳","4","0.8","0.28","0.48","0.51","0.54","0.64","0.8","0.95","1.06","1.1","1.13"
"10～11歳","1","1.06","0","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06"
"12～14歳","8","1.01","0.17","0.87","0.88","0.88","0.88","0.97","1.06","1.17","1.26","1.33"
"15～17歳","7","1.08","0.2","0.87","0.87","0.87","0.92","1.06","1.19","1.32","1.35","1.38"
"18～29歳","17","1.13","0.6","0.6","0.71","0.76","0.9","1.02","1.16","1.28","1.72","3"
"30～49歳","60","0.99","0.31","0.38","0.54","0.62","0.77","0.98","1.13","1.4","1.54","1.8"
"50～69歳","71","1.07","0.41","0.24","0.4","0.63","0.84","1.02","1.28","1.56","1.81","2.1"
"70歳以上","49","1.06","0.48","0.24","0.48","0.57","0.8","1.02","1.2","1.46","1.85","2.67"
"(再掲)妊婦","1","0.98","0","0.98","0.98","0.98","0.98","0.98","0.98","0.98","0.98","0.98"
"授乳婦","1","1.07","0","1.07","1.07","1.07","1.07","1.07","1.07","1.07","1.07","1.07"
