"","男性／総数","男性／20-29歳","男性／30-39歳","男性／40-49歳","男性／50-59歳","男性／60-69歳","男性／70歳以上","女性／総数","女性／20-29歳","女性／30-39歳","女性／40-49歳","女性／50-59歳","女性／60-69歳","女性／70歳以上"
"人数(人)","192","19","25","29","34","36","49","218","19","14","48","33","49","55"
"毎日2回以上(%)","0.5","0.0","0.0","0.0","2.9","0.0","0.0","1.8","0.0","7.1","2.1","3.0","0.0","1.8"
"毎日1回(%)","4.2","0.0","8.0","0.0","5.9","5.6","4.1","0.9","5.3","0.0","0.0","0.0","0.0","1.8"
"週4～6回(%)","8.9","21.1","8.0","13.8","2.9","8.3","6.1","5.0","10.5","7.1","0.0","6.1","8.2","3.6"
"週2～3回(%)","17.2","10.5","20.0","24.1","17.6","19.4","12.2","22.5","21.1","21.4","25.0","18.2","20.4","25.5"
"週1回(%)","12.5","5.3","16.0","13.8","11.8","11.1","14.3","19.7","15.8","21.4","27.1","27.3","18.4","10.9"
"合計(%)","43.3","36.9","52.0","51.7","41.1","44.4","36.7","49.9","52.7","57.0","54.2","54.6","47.0","43.6"
