"","いつもわかる(％)","だいたいわかる(％)","あまりわからない(％)","わからないことが多い(％)","ほとんどわからない(％)","無回答(％)"
"全体","6.1","62.1","13.9","14.0","2.8","1.1"
"困窮層","3.8","48.9","18.0","24.9","3.7","0.8"
"周辺層","6.0","57.9","13.8","16.7","5.0","0.6"
"一般層","6.7","63.8","13.4","13.0","2.3","0.8"
