"","毎日食べる(％)","１週間に４～５日(％)","１週間に２～３日(％)","１週間に１日以下(％)","食べない(％)","無回答(％)"
"小学5年生全体","63.3","20.3","11.5","2.7","0.3","1.9"
"ふたり親（二世代）","65.0","20.3","10.8","2.1","0.3","1.5"
"ふたり親（三世代）","59.6","21.1","11.3","5.1","0.4","2.6"
"ひとり親（二世代）","57.1","20.6","12.9","5.2","0.7","3.5"
"ひとり親（三世代）","56.6","19.3","16.6","3.8","","3.8"
"困窮層","54.6","22.9","13.8","5.5","0.7","2.5"
"周辺層","60.0","21.3","13.6","2.4","0.9","1.8"
"一般層","64.8","19.7","10.8","3.0","0.3","1.3"
