"","電話(％)","電気(％)","ガス(％)","水道(％)","家賃(％)","住宅ローン(％)","その他債務(％)"
"困窮層","28.4","22.1","19.6","21.8","18.7","9.0","33.6"
"周辺層","4.2","4.1","4.3","4.4","4.1","2.7","11.0"
"一般層","0.0","0.0","0.0","0.0","0.0","0.4","1.2"
