"","0人(％)","1人(％)","2人(％)","3人(％)","4人以上(％)","わからない(％)"
"総数(5494人)","3.0","9.3","45.2","28.6","5.4","8.6"
"20～29歳(444人)","4.7","12.4","40.8","17.8","0.4","23.9"
"30～39歳(841人)","3.7","13.7","48.5","20.3","1.6","12.2"
"40～49歳(869人)","2.9","12.5","47.8","23.7","4.8","8.3"
"50～59歳(1172人)","2.9","7.5","43.6","33.0","6.0","7.0"
"60～69歳(1203人)","2.5","5.7","47.9","33.1","6.7","4.2"
"70歳以上(965人)","2.5","7.9","40.4","34.0","9.0","6.4"
