"区分","就学前児童人口(人)","保育所等利用申込者数(人)","保育所等利用申込率(%)","保育所等利用申込率(%)／対前年増減"
"平成22年","601368","190645","31.7","0.8"
"平成23年","609128","197788","32.5","0.8"
"平成24年","615228","205091","33.3","0.8"
"平成25年","619557","214510","34.6","1.3"
"平成26年","625347","226437","36.2","1.6"
"平成27年","630419","245758","39.0","2.8"
