"","拒否している(%)","希望している(%)","虐待者とは別居したいが他の人と一緒に生活したい(%)","意思表示なし(%)","その他(%)","不明(%)","未記入(%)"
"中学生","37.0","27.8","12.0","3.7","3.7","15.7",""
"小学高学年","18.3","36.1","6.7","7.8","1.1","30.0",""
"小学低学年","9.2","30.5","7.3","6.1","3.8","42.4","0.8"
"４～６歳","3.5","24.2","4.1","16.6","1.6","48.7","1.3"
