"","よい(％)","まあよい(％)","ふつう(％)","あまりよくない(％)","よくない(％)","無回答(％)"
"困窮層","47.8","8.9","37.1","4.3","0.7","1.2"
"周辺層","54.6","9.5","29.2","1.9","","4.8"
"一般層","61.9","8.3","25.2","1.1","0.2","3.3"
