"","男性／総数","男性／20-29歳","男性／30-39歳","男性／40-49歳","男性／50-59歳","男性／60-69歳","男性／70歳以上","女性／総数","女性／20-29歳","女性／30-39歳","女性／40-49歳","女性／50-59歳","女性／60-69歳","女性／70歳以上"
"人","193","19","25","29","34","36","50","218","19","14","48","33","49","55"
"%","33.2","21.1","48.0","37.9","35.3","30.6","28.0","8.3","15.8","7.1","8.3","15.2","10.2","0.0"
