"","総計(%)","よくあった(%)","少しあった(%)","なかった(%)","不明(%)"
"平成15年／兵庫","100.0","16.9","26.8","55.5","0.8"
"昭和55年／大阪","100.0","21.0","35.4","38.8","4.8"
