"区分","待機児童数(人)","待機児童数(人)／0歳児","待機児童数(人)／1歳児","待機児童数(人)／2歳児","待機児童数(人)／3歳児","待機児童数(人)／4歳以上","対前年増減(人)"
"平成22年","8435","1635","3873","2155","648","124","496"
"平成23年","7855","1576","3715","1827","615","122","-580"
"平成24年","7257","1358","3487","1698","613","101","-598"
"平成25年","8117","1637","3883","1691","752","154","860"
"平成26年","8672","2151","4046","1701","588","186","555"
"平成27年","7814","1786","4089","1436","420","83","-858"
