"","平成26年度(人数)","平成26年度(％)"
"総数（n=3379）","334","9.9"
"男子（ｎ＝1593）","166","10.4"
"女子（ｎ＝1566）","143","9.1"
"性別無回答（n=220）","25","11.4"
"無回答","56",""
