"","短期型／NO","短期型／NO2","長期型／NO","長期型／NO2","SPM","PM2","PM2-10","Pb","As","Zn","Cu","Fe","Mn","Cr","V","Ni"
"【0m】／中央区","133","133","92","97","117","28","27","117","116","117","117","117","117","117","116","116"
"【0m】／大田区","133","133","92","97","99","46","45","99","98","99","99","99","99","99","93","99"
"【0m】／渋谷区","133","134","90","96","117","28","27","117","113","117","117","117","117","117","108","109"
"【0m】／板橋区","133","133","91","96","135","10","9","135","128","135","135","135","135","135","125","130"
"【0m】／足立区","80","80","76","77","45","46","45","45","41","45","45","45","45","45","45","45"
"【0m】／八王子市","132","132","88","95","97","33","28","97","95","97","97","97","97","97","73","75"
"【0m】／立川市","129","132","91","96","87","39","37","87","86","87","87","87","87","87","71","71"
"【0m】／青梅市","133","134","92","97","135","42","38","135","130","135","135","135","135","135","103","103"
"【0m】／町田市","129","131","89","94","99","30","27","99","95","99","99","99","99","99","76","84"
"【0m】／田無市","130","130","86","91","132","4","3","132","126","132","132","132","132","132","116","119"
"【20m】／中央区","133","133","76","77","135","","","135","130","135","135","135","135","135","131","132"
"【20m】／大田区","134","134","90","97","104","31","30","104","101","104","104","104","104","104","95","103"
"【20m】／渋谷区","133","134","88","95","134","","","134","129","134","134","134","134","134","121","124"
"【20m】／板橋区","133","133","76","77","135","","","135","128","135","135","135","135","135","123","125"
"【20m】／足立区","81","81","75","76","50","31","30","50","46","50","50","50","50","50","49","50"
"【20m】／八王子市","131","131","73","76","104","23","21","104","101","104","104","104","104","104","74","77"
"【20m】／立川市","130","131","77","78","92","29","25","92","91","92","92","92","92","92","72","73"
"【20m】／青梅市","132","132","77","78","130","5","5","129","126","130","130","130","130","130","101","103"
"【20m】／町田市","127","129","73","74","99","26","25","99","97","99","99","99","99","99","75","87"
"【20m】／田無市","132","132","69","70","130","","","130","124","130","130","130","130","130","111","114"
"【-0m】／中央区","80","80","","","45","36","36","45","40","45","45","45","45","45","45","45"
"【-0m】／大田区","73","73","","","","","","","","","","","","","",""
"【-0m】／渋谷区","80","80","","","45","35","35","45","43","45","45","45","45","45","45","45"
"【-0m】／板橋区","80","80","77","78","45","36","36","45","44","45","45","45","45","45","45","45"
"【-0m】／足立区","80","80","","","63","18","18","63","59","63","63","63","63","63","63","63"
"【-0m】／八王子市","81","81","","","80","","","80","75","80","80","80","80","80","80","80"
"【-0m】／立川市","81","81","75","76","79","","","79","76","79","79","79","79","79","79","79"
"【-0m】／青梅市","80","80","","","76","5","5","76","70","76","76","76","76","76","76","76"
"【-0m】／町田市","81","81","","","81","","","81","74","81","81","81","81","81","81","81"
"【-0m】／田無市","80","81","","","44","36","35","44","43","44","44","44","44","44","44","44"
"【-20m】／中央区","81","81","","","50","31","31","50","49","50","50","50","50","50","50","50"
"【-20m】／大田区","73","73","","","","","","","","","","","","","",""
"【-20m】／渋谷区","80","80","","","50","30","30","50","48","50","50","50","50","50","50","50"
"【-20m】／板橋区","81","81","77","78","50","31","28","49","44","49","49","49","49","49","49","49"
"【-20m】／足立区","77","77","","","80","","","80","74","80","80","80","80","80","80","80"
"【-20m】／八王子市","81","81","","","79","","","79","73","79","79","79","79","79","79","79"
"【-20m】／立川市","81","81","75","76","81","","","81","77","81","81","81","81","81","81","81"
"【-20m】／青梅市","80","80","","","77","","","76","73","77","77","77","76","76","74","77"
"【-20m】／町田市","81","81","","","81","","","81","74","81","81","81","81","81","81","81"
"【-20m】／田無市","81","81","","","50","31","31","50","47","50","50","50","50","50","50","50"
