"","ひとり親世帯(29世帯)(%)","両親世帯(121世帯)(%)"
"配偶者","6.9","47.9"
"自分や配偶者の親","27.6","25.6"
"配偶者以外の家族や親族","17.2","8.3"
"保育所や幼稚園等の先生","20.7","34.7"
"塾や習い事の先生","6.9","4.1"
"友人","55.2","38"
"子どもの学校や幼稚園、保育所などを通じて親しくなった友人","27.6","19"
"職場の人","24.1","14.9"
"隣近所の人","17.2","10.7"
"病院の医師､看護師","10.3","14.9"
"保健所･保健センターの保健師","20.7","16.5"
"公的機関の相談員","27.6","19.8"
"民間の相談窓口の相談員","6.9","10.7"
"インターネット(掲示板等)","0","6.6"
"その他","13.8","2.5"
