"","通って（来てもらって）いない(％)","週に１日(％)","週に２日(％)","週に３日(％)","週に４日以上(％)","無回答(％)"
"全体","68.2","11.2","11.0","3.8","4.3","1.6"
"困窮層","89.4","6.9","2.2","0.8","","0.8"
"周辺層","75.2","8.4","7.2","3.0","4.3","1.9"
"一般層","64.5","12.0","13.1","4.7","4.8","0.9"
