"","正規の職員・従業員(%)","会社・団体等の役員(%)","自営業(%)","パート・アルバイト(%)","派遣社員・契約社員・嘱託(%)","無回答(%)"
"母子世帯","36.5","0.8","5.6","41.5","14.5","1.2"
"父子世帯","64.4","10.2","16.9","5.1","1.7","1.7"
