"","青梅市","青梅市(%)","東大和市","東大和市(%)","八王子市","八王子市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)","p値"
"転居歴／7年度","372","54.1","257","55.4","246","50.4","228","52.8","271","41.9","235","48.8","237","41.5","0.000"
"転居歴／8年度","368","55.1","261","55.3","247","51.1","242","53.2","297","44.4","230","46.6","283","45.8",""
"転居歴／9年度","347","56.5","249","54.5","232","52.3","223","55.2","275","47.0","225","48.0","245","42.4",""
"転居歴／10年度","333","57.8","276","57.9","244","55.3","226","60.4","277","51.2","235","51.5","250","46.7",""
"転居歴／11年度","318","58.7","302","62.3","246","58.6","216","64.1","241","50.3","227","54.2","281","50.7",""
"兄弟数3人以上／7年度","254","37.0","207","44.6","195","40.0","148","34.3","267","41.3","146","30.3","211","37.0","0.000"
"兄弟数3人以上／8年度","242","36.2","204","43.2","162","33.5","142","31.2","247","36.9","143","28.9","246","39.8",""
"兄弟数3人以上／9年度","226","36.8","171","37.4","169","38.1","131","32.4","200","34.2","138","29.4","229","39.6",""
"兄弟数3人以上／10年度","217","37.7","192","40.3","173","39.2","126","33.7","181","33.5","120","26.3","216","40.4",""
"兄弟数3人以上／11年度","206","38.0","212","43.7","169","40.2","120","35.6","160","33.4","125","29.8","207","37.4",""
"母親の喫煙歴／7年度","120","17.5","104","22.4","63","12.9","79","18.3","142","21.9","98","20.3","105","18.4","0.000"
"母親の喫煙歴／8年度","116","17.4","115","24.4","54","11.2","96","21.1","127","19.0","96","19.4","118","19.1",""
"母親の喫煙歴／9年度","104","16.9","96","21.0","56","12.6","81","20.0","107","18.3","83","17.7","114","19.7",""
"母親の喫煙歴／10年度","98","17.0","111","23.3","59","13.4","70","18.7","105","19.4","94","20.6","116","21.7",""
"母親の喫煙歴／11年度","86","15.9","106","21.9","58","13.8","74","22.0","83","17.3","103","24.6","131","23.6",""
"二車線道路直面／7年度","156","22.7","99","21.3","91","18.6","74","17.1","110","17.0","142","29.5","143","25.0","0.000"
"二車線道路直面／8年度","148","22.2","115","24.4","101","20.9","77","16.9","121","18.1","116","23.5","156","25.2",""
"二車線道路直面／9年度","142","23.1","91","19.9","99","22.3","69","17.1","114","19.5","121","25.8","135","23.4",""
"二車線道路直面／10年度","139","24.1","123","25.8","75","17.0","66","17.6","116","21.4","153","33.6","121","22.6",""
"二車線道路直面／11年度","125","23.1","106","21.9","74","17.6","59","17.5","91","19.0","122","29.1","129","23.3",""
"鉄筋住宅／7年度","333","48.5","117","25.2","231","47.3","215","49.8","372","57.5","347","72.0","246","43.1","0.000"
"鉄筋住宅／8年度","327","49.0","137","29.0","246","50.9","231","50.8","399","59.6","356","72.1","279","45.1",""
"鉄筋住宅／9年度","297","48.4","123","26.9","214","48.2","212","52.5","356","60.9","354","75.5","269","46.5",""
"鉄筋住宅／10年度","301","52.3","123","25.8","221","50.1","188","50.3","348","64.3","364","79.8","258","48.2",""
"鉄筋住宅／11年度","277","51.1","136","28.0","206","49.0","166","49.3","309","64.5","319","76.1","292","52.7",""
"寝室の床（畳／板，ﾀｲﾙの上に絨毯）／7年度","251","36.5","160","34.5","159","32.6","136","31.5","199","30.8","134","27.8","175","30.6","0.000"
"寝室の床（畳／板，ﾀｲﾙの上に絨毯）／8年度","227","34.0","140","29.7","146","30.2","121","26.6","214","32.0","126","25.5","164","26.5",""
"寝室の床（畳／板，ﾀｲﾙの上に絨毯）／9年度","205","33.4","120","26.3","130","29.3","116","28.7","179","30.6","119","25.4","153","26.5",""
"寝室の床（畳／板，ﾀｲﾙの上に絨毯）／10年度","190","33.0","141","29.6","127","28.8","102","27.3","168","31.1","115","25.2","147","27.5",""
"寝室の床（畳／板，ﾀｲﾙの上に絨毯）／11年度","171","31.5","127","26.2","120","28.6","90","26.7","143","29.9","110","26.3","155","28.0",""
"非排気型暖房器具使用／7年度","404","58.8","327","70.5","302","61.9","235","54.4","280","43.3","187","38.8","323","56.6","0.000"
"非排気型暖房器具使用／8年度","396","59.3","310","65.7","291","60.2","235","51.6","293","43.8","176","35.6","347","56.1",""
"非排気型暖房器具使用／9年度","373","60.7","309","67.6","273","61.5","213","52.7","263","45.0","186","39.7","307","53.1",""
"非排気型暖房器具使用／10年度","322","55.9","325","68.1","259","58.7","189","50.5","245","45.3","176","38.6","287","53.6",""
"非排気型暖房器具使用／11年度","318","58.7","329","67.8","246","58.6","166","49.3","193","40.3","152","36.3","272","49.1",""
"ペット（猫／小鳥／家の中で飼っている犬）／7年度","117","17.0","89","19.2","99","20.3","78","18.1","123","19.0","72","14.9","125","21.9","0.000"
"ペット（猫／小鳥／家の中で飼っている犬）／8年度","111","16.6","91","19.3","91","18.8","77","16.9","105","15.7","81","16.4","118","19.1",""
"ペット（猫／小鳥／家の中で飼っている犬）／9年度","114","18.6","108","23.6","67","15.1","72","17.8","88","15.0","75","16.0","107","18.5",""
"ペット（猫／小鳥／家の中で飼っている犬）／10年度","119","20.7","124","26.0","91","20.6","63","16.8","88","16.3","84","18.4","99","18.5",""
"ペット（猫／小鳥／家の中で飼っている犬）／11年度","102","18.8","138","28.5","75","17.9","47","13.9","80","16.7","82","19.6","111","20.0",""
