"","使ってみたい(％)","興味がある(％)","使いたくない(％)","使う必要はない(％)","無回答(％)"
"全体","34.7","27.5","5.4","30.2","2.3"
"困窮層","39.0","36.3","3.0","19.6","2.1"
"周辺層","37.9","27.3","4.0","29.7","1.2"
"一般層","33.6","26.9","6.0","31.7","1.8"
