"","困窮層(％)","周辺層(％)","一般層(％)"
"新しい（誰かのお古でない）洋服(***)","4.7","3.6","1.0"
"最低２足のサイズの合った靴(***)","4.9","2.8","1.0"
"冬用のダウンジャケット・ダウンコート(***)","8.9","4.6","1.6"
"自分専用のふとん又はベッド(***)","6.1","3.0","1.2"
"家の中で勉強ができる場所(***)","17.1","6.1","2.0"
"インターネットにつながるパソコン(***)","38.2","21.0","16.6"
"電子辞書(***)","36.9","16.8","12.0"
"自分の部屋(***)","38.5","29.2","13.7"
"月5,000円ほどの、自分で自由に使えるお金(***)","34.2","22.1","16.4"
"スマートフォン(X)","3.6","4.6","4.0"
"友人と遊びに出かけるお金(***)","30.0","15.2","5.6"
"自分に投資するお金（本、職業訓練コース等）(***)","55.5","42.4","24.3"
