"","男性／総数","男性／20-29歳","男性／30-39歳","男性／40-49歳","男性／50-59歳","男性／60-69歳","男性／70歳以上","女性／総数","女性／20-29歳","女性／30-39歳","女性／40-49歳","女性／50-59歳","女性／60-69歳","女性／70歳以上"
"人","64","4","12","11","12","11","14","18","3","1","4","5","5","0"
"%","4.7","0.0","0.0","0.0","0.0","18.2","7.1","5.6","0.0","0.0","0.0","0.0","20.0","0.0"
