"","平成17年","平成18年","平成19年","平成20年","平成21年","平成22年","平成23年","平成24年","平成25年","平成26年","平成27年"
"都男性(%)","40.7","41.3","31.2","47.8","41.1","44.8","46.7","44.1","27.7","38.8","53.3"
"都女性(%)","40.0","34.6","31.9","44.6","35.2","36.0","33.4","33.6","34.8","37.4","32.7"
"全国男性(%)","30.7","30.2","29.1","33.3","32.2","34.8","35.0","36.1","33.8","31.2","37.8"
"全国女性(%)","28.2","28.1","25.6","27.5","27.0","28.5","29.2","28.2","27.2","25.1","27.3"
