"年度","1月(件)","2月(件)","3月(件)","4月(件)","5月(件)","6月(件)","7月(件)","8月(件)","9月(件)","10月(件)","11月(件)","12月(件)","合計(件)"
"26","","","","","","","39","88","64","77","81","150","499"
"27","147","135","180","190","145","148","189","184","145","142","149","208","1962"
