"","早朝(5時～8時)(％)","夜勤(20時～22時)(％)","深夜勤務(22時～5時)(％)","土曜出勤(％)","日曜・祝日出勤(％)"
"ふたり親（二世代）","4.2","4.9","2.2","31.9","18.5"
"ふたり親（三世代）","6.7","6.2","2.0","33.4","24.4"
"ひとり親（二世代）","7.1","10.2","4.6","39.3","24.0"
"ひとり親（三世代）","8.8","10.0","4.6","42.9","27.6"
