"","昭和55年","昭和60年","平成2年","平成7年","平成12年","平成17年","平成22年","平成27年","平成32年","平成37年"
"全国0～14歳(％)","","","","","","","","","",""
"全国65歳以上(％)","","","","","","","","","",""
"東京都0～14歳(％)","","","","","","","","","","8.7"
"東京都65歳以上(％)","","","","","","","","","","26.3"
