"","男女計／件数","男女計／％","男性／件数","男性／％","女性／件数","女性／％"
"小学校高学年／1あった","59","49.2","23","44.2","36","52.9"
"小学校高学年／2なかった","61","50.8","29","55.8","32","47.1"
"小学校高学年／合計","120","100.0","52","100.0","68","100.0"
"中学生／1あった","63","52.5","24","46.2","39","57.4"
"中学生／2なかった","57","47.5","28","53.8","29","42.6"
"中学生／合計","120","100.0","52","100.0","68","100.0"
"高校生／1あった","60","50.0","25","48.1","35","51.5"
"高校生／2なかった","58","48.3","25","48.1","33","48.5"
"高校生／無回答","2","1.7","2","3.8","",""
"高校生／合計","120","100.0","52","100.0","68","100.0"
