"","職員数(人)(ア)","延日数(日)(イ)=(ア)×28日×2ユニット","夜勤日数(延)(日)(ウ)夜勤入り・明け各1日","休暇日数(延)(日)(エ)週休2日","残日数(延日勤可能人数)(日)(オ)=(イ)-(ウ)-(エ)","1ユニットあたり平均日勤人数(人)(カ)=(オ)÷28日÷2ユニット"
"ユニット定員／(1)定員10名","5","280","56","80","144","2.57"
"ユニット定員／(2)定員12名","6","336","56","96","184","3.29"
"ユニット定員／(3)定員15名","7.5","420","112","120","188","3.36"
