"年齢","人","平均値(％)","標準偏差(％)","パーセンタイル／1(％)","パーセンタイル／5(％)","パーセンタイル／10(％)","パーセンタイル／25(％)","パーセンタイル／50(中央値)(％)","パーセンタイル／75(％)","パーセンタイル／90(％)","パーセンタイル／95(％)","パーセンタイル／99(％)"
"男性総数","205","14.8","3.4","7.9","10.2","11.5","12.8","14.6","16.1","18.1","19.4","27.4"
"1～2歳","4","16.3","9.2","5.5","6.5","7.7","11.5","16.5","21.2","24.6","25.8","26.7"
"3～5歳","5","15.3","1.6","13.2","13.3","13.6","14.3","15.7","16","16.8","17","17.2"
"6～7歳","6","15","0.9","14","14.1","14.1","14.3","15","15.5","15.9","16.1","16.3"
"8～9歳","3","14.4","3.4","10.6","11","11.6","13.1","15.8","16.3","16.6","16.7","16.8"
"10～11歳","5","13.6","3.1","10.1","10.2","10.4","10.8","13.9","16.6","16.7","16.7","16.7"
"12～14歳","8","13.6","1.8","11.5","11.5","11.6","11.9","13.9","14.7","15.2","15.9","16.4"
"15～17歳","6","14.9","1.7","12.2","12.7","13.3","14.5","15","15.9","16.5","16.8","16.9"
"18～29歳","20","14.8","2.3","8.7","10.4","13.2","14.2","14.7","16","17.2","17.6","18.8"
"30～49歳","42","14.7","4.5","8.5","9.8","10.4","12.5","14","15.1","19.3","20.8","30"
"50～69歳","60","14.9","3.6","8.8","10.5","11.5","12.9","14.4","16.1","18.1","21.8","27.8"
"70歳以上","46","14.8","2.4","9.1","11.3","11.9","13.1","15","16.3","17.2","18.9","19.5"
"女性総数","228","15.4","3.4","9.2","11","11.6","13.4","15.3","17.2","19.3","20.6","24.1"
"1～2歳","3","15.6","1.8","13.7","13.9","14.2","14.9","16.1","16.6","16.9","17","17.1"
"3～5歳","2","12.7","1.7","11.5","11.6","11.7","12.1","12.7","13.3","13.7","13.8","13.9"
"6～7歳","6","13.3","2","11.2","11.2","11.2","11.6","13.1","15","15.7","15.7","15.7"
"8～9歳","4","14.3","2.9","10.1","10.8","11.6","14.1","15.6","15.8","15.9","16","16"
"10～11歳","1","15.6","0","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6"
"12～14歳","8","15.7","2.1","12.8","13","13.3","14.1","16.1","16.7","17.8","18.5","19"
"15～17歳","7","13.9","2.5","11.2","11.3","11.4","11.8","13.2","16.2","16.8","17","17.2"
"18～29歳","17","16.2","2.6","11.9","12.5","13","14.2","16.5","17.9","19","20.3","20.8"
"30～49歳","60","14.6","2.9","8.5","10.5","11.2","12.6","14.2","16.7","18.7","19.3","20.1"
"50～69歳","71","15.7","3.1","9.8","10.8","11.6","13.9","15.5","17.4","20.1","20.7","23.1"
"70歳以上","49","16.3","4.6","10.6","11.6","12.3","13.6","15.2","17.4","20.9","21.2","32.7"
"(再掲)妊婦","1","18","0","18","18","18","18","18","18","18","18","18"
"授乳婦","1","13.3","0","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3"
